#,Score,Start Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
247F,8,4/14/2024 13:05,12,25-Feb,378,832/2499,,301833,4sqrt(6/5),8,29,515150.5,1,1,1,1,,1,0,1,1,1,0:01:35,0:03:59,0:06:16,0:09:53,0:46:44,0:23:12,0:37:54,0:32:16,0:48:46,0:49:28
265B,9,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,-24,8,29,1030301/2,1,1,1,1,1,1,0,1,1,1,0:01:20,0:12:08,0:10:26,0:13:48,0:38:53,0:22:48,0:13:59,0:46:08,0:48:46,0:36:35
266C,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,5,8,64,102010,1,1,1,1,1,1,0,1,0,0,0:01:39,0:06:55,0:08:21,0:13:59,0:16:41,0:20:25,0:44:04,0:21:42,0:41:49,0:46:55
266G,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,5,4,29,10100,1,1,1,1,1,1,0,0,1,0,0:01:54,0:04:56,0:08:45,0:13:40,0:41:03,0:24:44,0:48:18,0:28:27,0:43:46,0:47:12
270B,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,3sqrt3,16,29,50001,1,1,1,1,1,1,0,0,1,0,0:01:25,0:05:58,0:07:05,0:14:42,0:17:02,0:21:18,0:47:54,0:47:10,0:46:32,0:48:01
273C,7,4/14/2024 13:04,12,18/25,378,832/2499,2,301833,-64,8,128,1030301/2,1,0,1,1,1,1,0,1,0,1,0:07:06,0:03:37,0:11:36,0:14:20,0:22:01,0:25:02,0:49:20,0:29:32,0:39:27,0:03:48
273F,7,4/14/2024 13:04,12,18/25,378,832/2499,2,301833,-24,8,2^5,1030301/2,1,0,1,1,1,1,0,1,0,1,0:07:25,0:04:32,0:19:01,0:14:35,0:22:27,0:25:07,0:14:26,0:19:53,0:48:59,0:02:42
273G,7,4/14/2024 13:04,12,18/25,378,832/2499,2,301833,-24,8,10,1030301/2,1,0,1,1,1,1,0,1,0,1,0:29:35,0:07:44,0:11:53,0:15:41,0:15:09,0:28:30,0:17:10,0:31:23,0:41:57,0:04:16
273H,7,4/14/2024 13:04,12,18/25,378,832/2499,2,301833,-24,8,256,515150.5,1,0,1,1,1,1,0,1,0,1,0:25:07,0:49:09,0:11:56,0:27:49,0:48:19,0:49:19,0:30:14,0:48:23,0:32:41,0:48:26
276D,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,7,8,26,5,1,1,1,1,1,1,0,1,0,0,0:02:22,0:35:30,0:07:26,0:13:24,0:42:17,0:30:02,0:47:55,0:48:47,0:47:18,0:47:57
277D,9,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,4/5 sqrt(30),8,29,101,1,1,1,1,1,1,1,1,1,0,0:01:13,0:02:13,0:07:20,0:13:20,0:33:29,0:49:41,0:24:24,0:29:56,0:47:05,0:48:29
277H,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,300833,4/5sqrt(30),8,63,100/101,1,1,1,1,1,0,1,1,0,0,0:27:59,0:06:58,0:09:27,0:11:09,0:48:56,0:17:54,0:25:48,0:30:51,0:47:23,0:49:32
284C,9,4/14/2024 13:04,12,25-Feb,756,832/2499,2,301833,4/5\sqrt30,8,29,1030301/2,1,1,0,1,1,1,1,1,1,1,0:02:22,0:04:51,0:49:59,0:10:01,0:45:23,0:21:51,0:16:28,0:25:51,0:41:42,0:48:59
284D,9,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,4sqrt(30)/5,8,29,,1,1,1,1,1,1,1,1,1,,0:01:14,0:02:27,0:03:49,0:11:18,0:43:17,0:21:49,0:17:25,0:13:30,0:35:29,0:39:13
284F,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,sqrt(96/5),4,,1030301/2,1,1,1,1,1,1,0,0,,1,0:01:11,0:02:52,0:07:21,0:11:25,0:39:37,0:41:28,0:49:45,0:34:24,0:44:57,0:30:05
