id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,A1_freq,A2_freq,A3_freq,A4_freq,A5_freq,A6_freq,A7_freq,A8_freq,A9_freq,A10_freq
005D,3,0,4319,,,,6,,,,0.0,0.0,0.0,,,,0.0,,,,0.8189861541506837,1.547128944885458,0.021127140123007433,-0.5068031934915715,,-0.7761780168895109,-1.3453003104565953,,,,0.05614973262032086,0.05,0.00267379679144385,0.0,0.0,0.0,0.18387096774193548,0.0,0.0,0.0
005F,2,-0.92,1512,604/1813,(root 1 6 + \root 1 2)/5,3995556,4-Jul,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.7488472717181256,-1.120776443852873,-0.685229073277549,-0.17854361840536703,-0.3975842960931179,-0.08593907363936702,0.3154916354182595,,,,0.27540106951871657,0.041666666666666664,0.00267379679144385,0.0028011204481792717,0.002105263157894737,0.002044989775051125,0.0016129032258064516,0.0,0.0,0.0
006C,12,25-Feb,-16740,832/2499,2,301167,5,12,21,1020100,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.6464138810964125,-1.1673332146730409,1.8393626400348317,-0.8018812952838635,-1.2967560990035887,-0.5047032860714628,0.6591588811960205,0.7449764638618124,0.27649376226876926,0.7725570731324435,0.5816554809843401,0.5522388059701493,0.00267379679144385,0.5175675675675676,0.2692307692307692,0.002044989775051125,0.04838709677419355,0.019305019305019305,0.07107438016528926,0.002173913043478261
006D,4,25-Feb,387,832/2499,2,201832,25/4,16,21,21,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7500523704313222,-0.9537793311283567,-0.5985891288740737,0.49101111056107877,-0.8834629638931747,0.5985238115082653,-0.8401893817785836,0.7645402434728054,0.4804681735850048,0.49129107491370255,0.21657754010695188,0.5522388059701493,0.0053475935828877,0.5175675675675676,0.2692307692307692,0.002044989775051125,0.05,0.09266409266409266,0.07107438016528926,0.002173913043478261
006E,12,25-Feb,378,832/2499,2-Jan,301833,25/4,8,24,1030301/2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.747642173004929,-0.8242300558026714,-0.8561022969621811,-0.38118761602176043,0.9415447151606967,0.17253952644803,0.2115922355319596,-1.8348339408411343,0.8215977925104331,-2.452529217323897,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.08842105263157894,0.32083333333333336,0.05,0.32639791937581275,0.01818181818181818,0.2495921696574225
006F,12,25-Feb,378,2545/7644,-2,298833,(7sqrt(2))/2,4,29,101,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7235401987409965,-1.2736041045886421,1.7069960583072998,-1.537798970838134,-2.335173617686027,-1.0981932561045362,0.11248819256348895,0.8727931573203,-0.2615766675826795,0.7667277260191017,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.0056022408963585435,0.042105263157894736,0.002044989775051125,0.004838709677419355,0.5405405405405406,0.0706605222734255,0.034782608695652174
006G,4,25-Feb,1377,8-May,2,301833,9,8,192,16/7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.7114892116090302,-1.2422288894707028,0.3111302873624182,1.1309395240865314,-0.6508929918059523,-1.242594708667328,0.7758458995298649,0.9980013468306554,0.6598249835354877,0.6413967630822534,0.21657754010695188,0.5522388059701493,0.00267379679144385,0.0028011204481792717,0.2692307692307692,0.32083333333333336,0.0064516129032258064,0.32639791937581275,0.008264462809917356,0.002173913043478261
006H,12,25-Feb,27,832/2499,,301833,6,4,1,1,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,-0.08604297945998175,-0.6734266024938659,0.7154500279119702,1.2257437334977097,-1.2967560990035887,0.40069382149724075,0.6783403088673374,1.1258180402891431,0.8215977925104331,0.7725570731324435,0.5816554809843401,0.5522388059701493,0.0213903743315508,0.5175675675675676,0.0,0.32083333333333336,0.18387096774193548,0.5405405405405406,0.03305785123966942,0.10217391304347827
008A,12,0,72,1,3-Feb,27,4,3,6,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24632110831513288,0.8669952494256103,1.7382827048974436,-0.06596361972959297,-0.33684946261811083,-0.5278075184815094,-0.8034249787418929,-1.289656615681462,-0.715243892751548,-0.7532745337847677,0.5816554809843401,0.05,0.00267379679144385,0.10084033613445378,0.010526315789473684,0.00408997955010225,0.035483870967741936,0.055984555984555984,0.019834710743801654,0.02826086956521739
008C,2,1+c+d,256,4,2,399334,1/sqrt2,2,21,sqrt3/2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1082098453178737,1.1058517258073426,1.3748762714273106,0.8062351068532462,-1.1589917206334508,0.23607616557565833,-0.1944146501775814,-0.04931298834450432,-0.8119558981170044,-0.560906079044489,0.27540106951871657,0.002777777777777778,0.00267379679144385,0.0056022408963585435,0.2692307692307692,0.049079754601226995,0.0016129032258064516,0.04247104247104247,0.07107438016528926,0.002173913043478261
